,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
1339,Dorset Industries,3.8,142,Building Material,Gurgaon +26 more,Gurgaon +26 more,201-500 Employees
1340,Uttam Value Steels,4.0,144,Iron & Steel,Mumbai +6 more,49 years old,1k-5k Employees
1341,Vishvaraj Infrastructure,4.1,144,Waste Management,Nagpur +25 more,24 years old,201-500 Employees
1342,Mytrah Energy,3.9,144,Power,Hyderabad/Secunderabad +12 more,Hyderabad/Secunderabad +12 more,201-500 Employees
1343,Daffodil Software,3.8,144,IT Services & Consulting,Grandville +5 more,24 years old,201-500 Employees
1344,Azim Premji Foundation,4.4,144,Non-Profit,Bangalore/Bengaluru +33 more,Bangalore/Bengaluru +33 more,1k-5k Employees
1345,ITW India,4.1,144,Industrial Machinery,Glenview +17 more,Glenview +17 more,10k-50k Employees (Global)
1346,Sun Direct TV,4.3,144,Broadcasting,Chennai +37 more,Chennai +37 more,1k-5k Employees
1347,National Aerospace Laboratories,4.5,144,Defence & Aerospace,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,1k-5k Employees
1348,Geo Chem Laboratories,3.6,144,Industrial Machinery,Mumbai +17 more,Mumbai +17 more,1k-5k Employees
1349,Bright Life Care,4.1,144,Fitness & Wellness,Gurgaon +31 more,Gurgaon +31 more,51-200 Employees
1350,South Eastern Coalfields,4.4,144,Metals & Mining,Bilaspur +18 more,38 years old,5k-10k Employees (Global)
1351,ITCube Solutions,3.5,144,IT Services & Consulting,Pune +5 more,Pune +5 more,201-500 Employees
1352,CloudMoyo,4.3,144,Software Product,Bellevue +1 more,Bellevue +1 more,201-500 Employees
1353,Emmvee Photovoltaic Power,4.2,144,Power,Bengaluru +4 more,Bengaluru +4 more,501-1k Employees
1354,ShipRocket,3.5,144,Internet,Delhi +4 more,11 years old,201-500 Employees
1355,Green Park Hotels,4.0,144,Hospitality,Hyderabad/Secunderabad +14 more,Hyderabad/Secunderabad +14 more,1k-5k Employees
1356,Muthoot Housing Finance Company,4.2,144,NBFC,Mumbai +56 more,Mumbai +56 more,501-1k Employees
1357,Star Hospitals,4.1,144,Healthcare,Hyderabad/Secunderabad +13 more,Hyderabad/Secunderabad +13 more,51-200 Employees
1358,Applus Velosi,3.9,144,Oil & Gas,Abu Dhabi +15 more,Abu Dhabi +15 more,501-1k Employees
1359,Hipad Technology India,4.0,144,Electronics Manufacturing,Noida +3 more,Noida +3 more,1k-5k Employees (Global)
1360,Wings Biotech,3.3,149,Pharma,Delhi/NCR +25 more,37 years old,1k-5k Employees
1361,Edureka,3.3,149,EdTech,Bangalore +12 more,Bangalore +12 more,501-1k Employees
1362,CignaTTk Health Insurance,3.9,149,Insurance,Mumbai +34 more,Mumbai +34 more,1k-5k Employees
1363,Asian Heart Institute and Research Centre,3.6,149,Healthcare,Mumbai +4 more,Mumbai +4 more,201-500 Employees
1364,Airbnb,4.3,149,Internet,San Francisco +6 more,San Francisco +6 more,1k-5k Employees
1365,Escorts Construction Equipment,4.1,149,Auto Components,Faridabad +23 more,53 years old,1k-5k Employees
1366,Saudi Oger,4.4,149,Engineering & Construction,Riyadh +11 more,Riyadh +11 more,1-10 Employees
1367,Li & Fung,4.1,149,Electrical Equipment,Kowloon +10 more,Kowloon +10 more,501-1k Employees
1368,COWI,4.0,149,Engineering & Construction,Lyngby +4 more,Lyngby +4 more,501-1k Employees
1369,NOVO Medisciences,2.7,149,Pharma,Mumbai +17 more,Mumbai +17 more,201-500 Employees
1370,IREO,4.0,149,Real Estate,Gurgaon/Gurugram +8 more,Gurgaon/Gurugram +8 more,501-1k Employees
1371,Sudhir Power,3.9,149,Power,Gurgaon/Gurugram +25 more,Gurgaon/Gurugram +25 more,1k-5k Employees
1372,LEAP India,3.6,149,Logistics,Coimbatore +21 more,10 years old,51-200 Employees
1373,Magma Housing Finance,4.2,149,Financial Services,Kolkata +57 more,34 years old,5k-10k Employees
1374,Four Seasons Hotel,4.0,149,Hospitality,Toronto +18 more,26 years old,501-1k Employees
1375,Cummins Generator Technologies,4.5,149,Industrial Machinery,Ahmednagar +16 more,Ahmednagar +16 more,5k-10k Employees
1376,Orion Security Solutions,3.6,149,Law Enforcement & Security,Delhi/NCR +31 more,Delhi/NCR +31 more,51-200 Employees
1377,Bharathi Cement,4.2,149,Building Material,Hyderabad +30 more,Hyderabad +30 more,1k-5k Employees
1378,Central Tool Room & Training Centre,3.9,149,Industrial Machinery,Bhubaneswar +8 more,47 years old,51-200 Employees
1379,Sajjan India,3.8,149,Chemicals,Mumbai +8 more,118 years old,51-200 Employees
1380,Webtel Electrosoft,4.1,152,IT Services & Consulting,Delhi/NCR +12 more,Delhi/NCR +12 more,201-500 Employees
1381,Bacardi,3.9,152,Beverage,Hamilton +42 more,161 years old,201-500 Employees
1382,Future Consumer,4.3,152,FMCG,Mumbai +26 more,27 years old,1k-5k Employees
1383,SNVA Ventures,3.7,152,IT Services & Consulting,Waldorf +3 more,Waldorf +3 more,201-500 Employees
1384,Plastic Omnium,3.6,152,Automobile,Levallois-Perret +8 more,Levallois-Perret +8 more,201-500 Employees
1385,Ceragon Networks,4.2,152,Telecom,Tel Aviv +27 more,Tel Aviv +27 more,501-1k Employees
1386,Lokesh Machines,3.8,152,Industrial Machinery,Hyderabad/Secunderabad +7 more,40 years old,501-1k Employees
1387,Reliance Petroleum,3.9,152,Oil & Gas,Ahemdabad +29 more,15 years old,201-500 Employees
1388,Edac Engineering,3.7,152,Engineering & Construction,Chennai +15 more,Chennai +15 more,1k-5k Employees
1389,BajajSons,3.7,152,Automobile,Ludhiana +7 more,38 years old,1k-5k Employees
1390,Sunil Hitech Engineers,4.2,152,Engineering & Construction,Hyderabad/Secunderabad +27 more,25 years old,501-1k Employees
1391,Aditya Birla Memorial Hospital,3.6,152,Healthcare,Pune +4 more,Pune +4 more,1k-5k Employees (Global)
1392,JSG Group,3.5,152,Auto Components,Kundli +6 more,Kundli +6 more,51-200 Employees
1393,NBCC,4.1,152,Real Estate,Delhi/NCR +26 more,63 years old,1k-5k Employees
1394,American Express Global Business Travel,4.1,152,Travel & Tourism,New York +12 more,New York +12 more,1k-5k Employees
1395,Livguard,3.9,152,Electronics Manufacturing,Gurgaon +21 more,9 years old,501-1k Employees
1396,Dhampur Sugar Mills,3.5,152,Agro Chemicals,Delhi/NCR +15 more,90 years old,1k-5k Employees
1397,Ansal Api,3.7,152,Real Estate,New Delhi +16 more,56 years old,1k-5k Employees
1398,Qatargas,4.6,152,Oil & Gas,Doha +10 more,Doha +10 more,5k-10k Employees
1399,Century Pulp & Paper,4.1,152,Pulp & Paper,Nainital +13 more,Nainital +13 more,201-500 Employees
1400,PIT Solutions,4.6,158,IT Services & Consulting,Rapperswil-Jona +1 more,Rapperswil-Jona +1 more,501-1k Employees
1401,Protiviti,3.5,158,Management Consulting,Menlo Park +13 more,Menlo Park +13 more,1k-5k Employees
1402,GITAM University,4.1,158,Education & Training,Visakhapatnam +6 more,43 years old,1k-5k Employees
1403,Cadsys,4.0,158,IT Services & Consulting,Hyderabad/Secunderabad +4 more,34 years old,201-500 Employees
1404,State Street Global Advisors,3.9,158,Investment Banking / Venture Capital / Private Equity,Boston +4 more,Boston +4 more,1k-5k Employees (Global)
1405,GE Transportation,4.2,158,Industrial Machinery,Pittsburgh +10 more,116 years old,1k-5k Employees
1406,E2logy Software Solutions,4.7,158,IT Services & Consulting,Ahmedabad +2 more,Ahmedabad +2 more,51-200 Employees
1407,Singareni Collieries Company,4.2,158,Metals & Mining,Hyderabad +16 more,103 years old,10k-50k Employees
1408,Scaleneworks,3.5,158,Recruitment,Bangalore +17 more,Bangalore +17 more,501-1k Employees
1409,Compuage Infocom,3.9,158,Hardware & Networking,Mumbai +38 more,36 years old,501-1k Employees
1410,Skillmine Technology Consulting,4.2,158,IT Services & Consulting,Bangalore/Bengaluru +9 more,Bangalore/Bengaluru +9 more,501-1k Employees
1411,Impresario Entertainment & Hospitality,4.0,158,Travel & Tourism,Mumbai +14 more,Mumbai +14 more,1k-5k Employees
1412,MBL Infrastructure Limited,3.9,158,Engineering & Construction,Delhi/NCR +17 more,28 years old,201-500 Employees
1413,Aspiro Pharma,3.7,158,Pharma,Bangalore +2 more,11 years old,51-200 Employees
1414,Outworx Solutions,3.6,158,IT Services & Consulting,San Jose +16 more,San Jose +16 more,1k-5k Employees
1415,MITA,3.6,158,Industrial Machinery,Cambridge +6 more,Cambridge +6 more,51-200 Employees
1416,VIKRAN Engineering & Exim,4.1,158,Engineering & Construction,Thane +37 more,Thane +37 more,51-200 Employees
1417,Onicra Credit Rating Agency,3.0,158,FinTech,Delhi/NCR +32 more,30 years old,501-1k Employees
1418,Birla white,4.0,158,Building Material,Mumbai +51 more,Mumbai +51 more,1-10 Employees
1419,Pharmarack Technologies,3.8,158,IT Services & Consulting,Pune +24 more,8 years old,51-200 Employees
1420,CANTABIL RETAIL INDIA,4.1,160,Fashion & Textile,Delhi/NCR +49 more,23 years old,1k-5k Employees
1421,Indian Institute of Science,4.3,160,Education & Training,Bangalore/Bengaluru +3 more,Bangalore/Bengaluru +3 more,501-1k Employees
1422,Accutest Research Laboratories,3.9,160,Clinical Research,Navi Mumbai +5 more,Navi Mumbai +5 more,201-500 Employees
1423,Travelex,3.6,160,Financial Services,London +7 more,London +7 more,501-1k Employees
1424,GlobalStep,3.4,160,IT Services & Consulting,Dallas +3 more,Dallas +3 more,501-1k Employees
1425,UGC Supply Chain Solutions,3.6,160,Logistics,Pune +18 more,Pune +18 more,11-50 Employees
1426,VisionTek,3.9,160,Telecom,Hyderabad/Secunderabad +20 more,Hyderabad/Secunderabad +20 more,501-1k Employees
1427,Ck Birla Hospitals,4.0,160,Healthcare,Kolkata +3 more,Kolkata +3 more,201-500 Employees (Global)
1428,Dbs Mintek,3.3,160,Financial Services,Pune +13 more,15 years old,1k-5k Employees
1429,Sraco,4.1,160,Engineering & Construction,Dammam +14 more,Dammam +14 more,10k-50k Employees (Global)
1430,Amrutanjan Health Care,4.1,160,Pharma,Chennai +29 more,130 years old,1k-5k Employees
1431,Special Technical Services,4.3,160,Oil & Gas,Muscat +10 more,Muscat +10 more,201-500 Employees
1432,Rainbow Hospital,3.8,160,Healthcare,Hyderabad +10 more,Hyderabad +10 more,1k-5k Employees
1433,Chandan Steel,3.4,160,Metals & Mining,Mumbai +12 more,54 years old,11-50 Employees
1434,Lapiz Digital Services,3.3,160,BPO,Chennai +3 more,Chennai +3 more,501-1k Employees
1435,Walsons Facility Solutions,4.0,160,Recruitment,Gurgaon/Gurugram +24 more,27 years old,5k-10k Employees
1436,Piramal Foundation,4.2,160,Non-Profit,Mumbai +41 more,Mumbai +41 more,11-50 Employees
1437,HomeShop18,4.0,159,Internet,Noida +12 more,Noida +12 more,501-1k Employees
1438,Kalyani Forge,3.1,159,Iron & Steel,Pune +2 more,44 years old,501-1k Employees
1439,Lam Research,3.9,159,Semiconductors,Fremont +1 more,43 years old,1k-5k Employees
1440,HMEL,4.4,162,Oil & Gas,Noida +9 more,Noida +9 more,1k-5k Employees
1441,Indian Steel Corporation,4.0,162,Iron & Steel,Indore +8 more,19 years old,1k-5k Employees
1442,Wanbury,3.4,162,Pharma,Mumbai +21 more,35 years old,1k-5k Employees
1443,Annalect,4.0,162,Marketing & Advertising,New York +7 more,New York +7 more,501-1k Employees
1444,Fortune Park Hotels,4.0,162,Hospitality,Gurgaon +33 more,Gurgaon +33 more,5k-10k Employees (Global)
1445,Vacmet India,4.1,162,Packaging,Agra +13 more,30 years old,501-1k Employees
1446,LKQ INDIA,4.0,161,Auto Components,Chicago +2 more,25 years old,501-1k Employees
1447,Casio India Company,2.8,161,Consumer Electronics & Appliances,Delhi/NCR +20 more,Delhi/NCR +20 more,501-1k Employees
1448,Acg Pam Pharma Technologies,4.1,161,Packaging,Mumbai +8 more,Mumbai +8 more,1k-5k Employees
1449,Towell Engineering Group,3.8,161,Engineering & Construction,Muscat +9 more,Muscat +9 more,51-200 Employees
1450,Guiltfree Industries,3.5,161,FMCG,Kolkata +38 more,7 years old,201-500 Employees
1451,APOLLO POWER SYSTEMS,4.2,161,Electrical Equipment,Bangalore/Bengaluru +8 more,Bangalore/Bengaluru +8 more,1k-5k Employees
1452,"Apollo Gleneagles Hospitals, Kolkata",4.1,161,Healthcare,Kolkata +1 more,Kolkata +1 more,501-1k Employees
1453,CityMall,3.4,161,Internet,Gurgaon +17 more,4 years old,1k-5k Employees
1454,CBSI,3.9,161,Recruitment,Bangalore/Bengaluru +11 more,Bangalore/Bengaluru +11 more,501-1k Employees
1455,Trivitron Healthcare,3.7,161,Medical Equipment,Chennai +16 more,Chennai +16 more,501-1k Employees
1456,Nippon Express,4.2,161,Logistics,Tokyo +26 more,76 years old,501-1k Employees
1457,Assimilate Solutions,3.7,161,BPO,Tucson +7 more,Tucson +7 more,1k-5k Employees
1458,Vulcan Express,4.2,161,Logistics,Gurgaon +39 more,Gurgaon +39 more,1-10 Employees
1459,Ciron Drugs & Pharmaceuticals,3.2,161,Healthcare,Mumbai +10 more,Mumbai +10 more,51-200 Employees
1460,IBM Info Services,4.2,164,IT Services & Consulting,Chennai +20 more,Chennai +20 more,501-1k Employees
1461,SBI Capital Markets,3.6,164,501-1k Employees,Mumbai +51 more,Mumbai +51 more,Public
1462,Autocomp Corporation Panse,3.6,164,Auto Components,Pune +5 more,Pune +5 more,51-200 Employees
1463,Drake & Scull International PJSC,3.9,164,Engineering & Construction,Dubai +13 more,Dubai +13 more,51-200 Employees
1464,Gartner,4.4,164,Management Consulting,Stamford +10 more,44 years old,1k-5k Employees
1465,Vashi Integrated Solutions Limited,4.1,164,Industrial Machinery,Mumbai +18 more,Mumbai +18 more,501-1k Employees
1466,Hindustan Pencils,4.2,163,FMCG,Mumbai +40 more,Mumbai +40 more,201-500 Employees
1467,Swiss Re,3.9,163,Insurance,Zurich +4 more,160 years old,1k-5k Employees
1468,Teleone,3.8,163,Internet,Delhi/NCR +16 more,Delhi/NCR +16 more,501-1k Employees
1469,iBall,3.6,163,Consumer Electronics & Appliances,Mumbai +36 more,Mumbai +36 more,501-1k Employees
1470,ASUS,4.3,163,Consumer Electronics & Appliances,Beitou District +40 more,Beitou District +40 more,501-1k Employees
1471,Rashtriya Chemicals and Fertilizers,4.2,163,Agro Chemicals,Mumbai +15 more,56 years old,1k-5k Employees
1472,IDMC,3.9,163,Industrial Machinery,Vitthal Udyognagar +10 more,Vitthal Udyognagar +10 more,501-1k Employees
1473,Danone Foods Beverages,3.5,163,Food Processing,Paris +31 more,104 years old,501-1k Employees
1474,Nyati Group,4.0,163,Real Estate,Pune +8 more,Pune +8 more,501-1k Employees
1475,Sakata Inx,4.1,163,Chemicals,Gurgaon/Gurugram +10 more,Gurgaon/Gurugram +10 more,501-1k Employees
1476,Som Autotech,3.7,163,Auto Components,Aurangabad +10 more,Aurangabad +10 more,201-500 Employees
1477,Vini Cosmetics,3.9,163,Beauty & Personal Care,Ahmedabad +46 more,Ahmedabad +46 more,201-500 Employees
1478,Qentelli,4.3,163,IT Services & Consulting,Dallas,Dallas,501-1k Employees
1479,CR Asia,4.0,163,Oil & Gas,Bangkok +10 more,Bangkok +10 more,201-500 Employees
1480,Kent plc,4.4,168,Oil & Gas,Dubai +14 more,Dubai +14 more,501-1k Employees
1481,CEC International,4.6,167,Engineering & Construction,Taipei +13 more,Taipei +13 more,201-500 Employees
1482,Deepak Phenolics,4.4,167,Chemicals,Vadodara +6 more,Vadodara +6 more,201-500 Employees
1483,UNICEF,3.9,167,Non-Profit,New York +43 more,New York +43 more,10k-50k Employees (Global)
1484,Zee Learn,3.7,167,Education & Training,Mumbai +27 more,7 years old,201-500 Employees
1485,Income Tax Department India,4.5,167,Government,Delhi/NCR +67 more,Delhi/NCR +67 more,1k-5k Employees (Global)
1486,Perkins,4.5,167,Engineering & Construction,Chennai +7 more,Chennai +7 more,51-200 Employees
1487,Onida,3.8,167,Consumer Electronics & Appliances,Mumbai +44 more,Mumbai +44 more,1k-5k Employees
1488,Saurav Chemicals,3.8,167,Pharma,Panchkula +10 more,Panchkula +10 more,201-500 Employees
1489,Tenon Facility Management,3.6,167,Facility Management Services,Gurgaon/Gurugram +27 more,Gurgaon/Gurugram +27 more,201-500 Employees
1490,PreludeSys,3.3,167,IT Services & Consulting,Irvine +3 more,Irvine +3 more,501-1k Employees
1491,Gravita,4.3,167,Metals & Mining,Jaipur +12 more,31 years old,201-500 Employees
1492,Property Solutions,3.8,167,Facility Management Services,Mumbai +16 more,Mumbai +16 more,501-1k Employees
1493,Radheya Machining,3.7,167,Industrial Machinery,Pune +11 more,Pune +11 more,51-200 Employees
1494,Geetanjali Medical College and Hospital,4.4,167,Healthcare,Udaipur +16 more,Udaipur +16 more,1k-5k Employees
1495,Welspun Global Brands,3.7,167,Fashion & Textile,Mumbai +29 more,23 years old,10k-50k Employees (Global)
1496,PPD,4.2,167,Pharma,Waltham +8 more,Waltham +8 more,1k-5k Employees
1497,Brawn Laboratories,3.7,167,Healthcare,Delhi/NCR +8 more,Delhi/NCR +8 more,501-1k Employees
1498,Immacule Life Sciences,4.2,167,Pharma,Nalagarh +9 more,Nalagarh +9 more,201-500 Employees
1499,ISRO Satellite Center,4.5,167,Defence & Aerospace,Bengaluru +13 more,Bengaluru +13 more,10k-50k Employees
1500,Maharishi Vidya Mandir,4.1,169,Education & Training,Bhopal +67 more,Bhopal +67 more,5k-10k Employees
1501,Sundaram Motors,3.9,169,Automobile,Chennai +24 more,Chennai +24 more,51-200 Employees
1502,Fiat Chrysler Automobiles,3.6,169,Automobile,London +12 more,9 years old,1k-5k Employees
1503,Rinder India,3.9,169,Automobile,Pune +7 more,Pune +7 more,201-500 Employees
1504,Softcell Technologies,4.0,169,IT Services & Consulting,Mumbai +13 more,Mumbai +13 more,501-1k Employees
1505,Pmkvy,4.0,169,Education & Training,Delhi/NCR +76 more,8 years old,1-10 Employees
1506,Ivy Hospital,3.6,169,Healthcare,Mohali +11 more,Mohali +11 more,501-1k Employees
1507,The Sparks Foundation,4.3,169,Education & Training,Singapore +14 more,Singapore +14 more,5k-10k Employees
1508,PSA AVTEC Powertrain,3.5,169,Auto Components,Hosur +5 more,Hosur +5 more,51-200 Employees
1509,Freecharge,3.9,168,FinTech,Gurgaon +19 more,13 years old,501-1k Employees
1510,Pinkerton,3.9,168,Law Enforcement & Security,Ann Arbor +10 more,Ann Arbor +10 more,201-500 Employees
1511,Aarti Steels,4.0,168,Iron & Steel,Ludhiana +8 more,44 years old,1k-5k Employees
1512,Kalyani Motors,3.8,168,Automobile,Bangalore/Bengaluru +4 more,Bangalore/Bengaluru +4 more,501-1k Employees
1513,Anu Industries,3.5,168,Packaging,Delhi/NCR +12 more,Delhi/NCR +12 more,201-500 Employees
1514,Canvera,3.5,168,Printing & Publishing,Bangalore +24 more,Bangalore +24 more,501-1k Employees
1515,Danieli,3.7,168,Industrial Machinery,Buttrio +12 more,Buttrio +12 more,501-1k Employees
1516,Citrix,4.0,168,Software Product,Fort Lauderdale +2 more,34 years old,1k-5k Employees
1517,Ashok Iron Works,3.6,168,Industrial Machinery,Belagavi/Belgaum +3 more,Belagavi/Belgaum +3 more,1k-5k Employees
1518,Biotique,3.9,168,Biotechnology,Ghaziabad +20 more,23 years old,501-1k Employees
1519,Raksha TPA,3.7,168,Insurance,Delhi/NCR +19 more,Delhi/NCR +19 more,201-500 Employees
1520,DCDC Kidney Care,4.2,178,Healthcare,Delhi +43 more,Delhi +43 more,201-500 Employees
1521,Dvara KGFS,4.1,178,Financial Services,Chennai +36 more,Chennai +36 more,1k-5k Employees
1522,Mindteck,3.4,177,IT Services & Consulting,Bangalore/Bengaluru +7 more,Bangalore/Bengaluru +7 more,501-1k Employees
1523,Visa,4.1,177,FinTech,Foster City +6 more,65 years old,1k-5k Employees
1524,Aristocrat Technologies,4.0,177,IT Services & Consulting,North Ryde +6 more,North Ryde +6 more,501-1k Employees
1525,Satguru Travels and Tour Services,3.1,177,Travel & Tourism,Dubai +23 more,Dubai +23 more,201-500 Employees
1526,eBIZ.com,3.9,177,EdTech,Noida +23 more,Noida +23 more,51-200 Employees
1527,Gujarat State Fertilizers & Chemicals,4.6,177,Agro Chemicals,Vadodara/Baroda +20 more,61 years old,1k-5k Employees
1528,Gi Group,3.7,177,Recruitment,Milan +36 more,Milan +36 more,51-200 Employees
1529,Expert Global Solutions,3.6,177,BPO,Aurangabad +5 more,Aurangabad +5 more,1k-5k Employees
1530,Amcor Flexibles India,3.7,177,Packaging,Melbourne +13 more,159 years old,201-500 Employees
1531,Midland Microfin,3.5,177,Financial Services,Jalandhar +57 more,Jalandhar +57 more,1k-5k Employees
1532,Sanmarg Projects,4.2,177,Oil & Gas,Noida +37 more,Noida +37 more,201-500 Employees
1533,Indchemie Health Specialities,4.1,177,Pharma,Mumbai +38 more,Mumbai +38 more,1k-5k Employees
1534,Reliance Cement Company,4.4,177,Building Material,Kathmandu +26 more,Kathmandu +26 more,501-1k Employees
1535,KJS Cement,3.8,177,Building Material,Satna +24 more,Satna +24 more,1k-5k Employees
1536,Sanjeev Auto Parts Manufacturers,4.4,177,Auto Components,Aurangabad +1 more,Aurangabad +1 more,201-500 Employees
1537,Lalitha Jewellery,4.0,177,Jewellery,Chennai +24 more,Chennai +24 more,1k-5k Employees
1538,Sel Manufacturing Co.,3.5,177,Fashion & Textile,Ludhiana +13 more,54 years old,1k-5k Employees
1539,Signature Global,4.1,177,Real Estate,New Jersey +7 more,New Jersey +7 more,51-200 Employees
1540,Finolex Ind,4.0,179,Building Material,Pune +31 more,Pune +31 more,1k-5k Employees
1541,Course5,3.4,179,Analytics & KPO,Bellevue +8 more,Bellevue +8 more,501-1k Employees
1542,Toyota Tsusho,4.2,179,Metals & Mining,Nagoya +20 more,24 years old,501-1k Employees
1543,SMR Automotive Systems India,3.9,178,Auto Components,Stuttgart +15 more,Stuttgart +15 more,201-500 Employees
1544,Holisol Logistics,3.9,178,Logistics,Delhi +38 more,Delhi +38 more,1k-5k Employees
1545,Ferromatik Milacron,4.0,178,Industrial Machinery,Ahmedabad +8 more,Ahmedabad +8 more,11-50 Employees
1546,Path Infotech,4.3,178,IT Services & Consulting,Noida +7 more,Noida +7 more,201-500 Employees
1547,Gold's Gym,3.8,178,Fitness & Wellness,Dallas +47 more,Dallas +47 more,1-10 Employees
1548,Billabong High International School,3.6,178,Education & Training,Noida +18 more,14 years old,51-200 Employees
1549,Jain University,3.6,178,Education & Training,Bangalore +8 more,Bangalore +8 more,1k-5k Employees
1550,Spacewood,3.5,178,Furniture & Furnishing,Nagpur +18 more,Nagpur +18 more,201-500 Employees
1551,MNC Group,4.2,178,Investment Banking / Venture Capital / Private Equity,Jakarta +36 more,Jakarta +36 more,1 Lakh+ Employees (Global)
1552,Mantri Developers,3.5,178,Real Estate,Bangalore/Bengaluru +6 more,Bangalore/Bengaluru +6 more,501-1k Employees
1553,Volvo Trucks,4.1,178,Automobile,Gothenburg +26 more,Gothenburg +26 more,1k-5k Employees
1554,Bluestone.com,3.6,178,Jewellery,Bangalore +32 more,12 years old,501-1k Employees
1555,SYSTRA,4.0,178,Urban Transport,Paris +33 more,66 years old,1k-5k Employees
1556,Muthoot Capital Services,3.8,178,Financial Services,Kochi/Cochin +59 more,29 years old,1k-5k Employees
1557,Plasser India,4.0,178,Industrial Machinery,Faridabad +6 more,Faridabad +6 more,501-1k Employees
1558,Balaji Wafers,4.3,178,Food Processing,Rajkot +26 more,Rajkot +26 more,1k-5k Employees
1559,Essar Power,4.3,178,Power,Mumbai +15 more,26 years old,5k-10k Employees
1560,Al-Yamama Group,3.7,180,Engineering & Construction,Dammam +15 more,Dammam +15 more,51-200 Employees
1561,TMEIC,3.9,180,Industrial Machinery,Bengaluru/Bangalore +6 more,Bengaluru/Bangalore +6 more,201-500 Employees
1562,Prolifics Corporation,3.7,180,IT Services & Consulting,Bengaluru/Bangalore +6 more,Bengaluru/Bangalore +6 more,501-1k Employees
1563,Brg Iron And Steel Co.,3.4,180,Metals & Mining,Kolkata +8 more,Kolkata +8 more,51-200 Employees
1564,Keihin India Manufacturing,4.2,180,Auto Components,Neemrana +8 more,Neemrana +8 more,51-200 Employees
1565,Veer-O-- Metals,4.1,180,Industrial Machinery,Bengaluru/Bangalore +4 more,Bengaluru/Bangalore +4 more,201-500 Employees
1566,NTPC GE Power Services,3.5,180,Oil & Gas,Bengaluru/Bangalore +15 more,Bengaluru/Bangalore +15 more,51-200 Employees
1567,Solitaire World,4.0,180,Real Estate,Bengaluru/Bangalore +3 more,Bengaluru/Bangalore +3 more,201-500 Employees
1568,Central Institute of Mining and Fuel Research,3.9,180,Education & Training,Dhanbad +10 more,Dhanbad +10 more,501-1k Employees
1569,Creamline Dairy Products,4.2,180,Food Processing,Bengaluru/Bangalore +19 more,Bengaluru/Bangalore +19 more,501-1k Employees
1570,Starbucks,4.3,180,Hospitality,Bengaluru/Bangalore +26 more,52 years old,1k-5k Employees
1571,Futwork,4.4,180,Internet,Bengaluru/Bangalore +8 more,Bengaluru/Bangalore +8 more,Startup
1572,GUS Education India,3.4,180,Education & Training,Bengaluru/Bangalore +4 more,Bengaluru/Bangalore +4 more,1k-5k Employees
1573,Simpa Energy,4.3,179,Power,Noida +29 more,Noida +29 more,51-200 Employees
1574,Allengers Medical Systems,3.7,179,Medical Equipment,Bengaluru/Bangalore +31 more,36 years old,1k-5k Employees
1575,IM Gears,3.7,179,Auto Components,Chennai +4 more,Chennai +4 more,201-500 Employees
1576,Apex CoVantage,3.5,179,IT Services & Consulting,Bengaluru/Bangalore +7 more,Bengaluru/Bangalore +7 more,51-200 Employees
1577,Accord Synergy,4.0,179,Hardware & Networking,Bengaluru/Bangalore +26 more,9 years old,51-200 Employees
1578,Fingent,4.6,179,IT Services & Consulting,Kochi +3 more,Kochi +3 more,201-500 Employees
1579,Namaste India Foods,3.9,179,Food Processing,Kanpur +20 more,Kanpur +20 more,11-50 Employees
1580,Naandi Foundation,4.0,182,Non-Profit,Hyderabad/Secunderabad +39 more,Hyderabad/Secunderabad +39 more,201-500 Employees
1581,Costa Cruise Lines,4.4,182,Travel & Tourism,Genoa +10 more,Genoa +10 more,51-200 Employees
1582,Praxair,4.2,182,Chemicals,Danbury +26 more,Danbury +26 more,201-500 Employees
1583,SHV Energy,3.8,182,Oil & Gas,Hoofddorp +25 more,Hoofddorp +25 more,201-500 Employees
1584,ecare India,3.7,182,BPO,Chennai +5 more,Chennai +5 more,1k-5k Employees
1585,NextGen Healthcare,3.6,182,IT Services & Consulting,Atlanta +8 more,Atlanta +8 more,501-1k Employees
1586,ITCONS e-Solutions,3.5,182,IT Services & Consulting,Noida +55 more,Noida +55 more,1k-5k Employees
1587,Trackon Courier,3.5,182,Logistics,Delhi/NCR +47 more,Delhi/NCR +47 more,51-200 Employees
1588,Bangalore International Airport,4.2,182,Logistics,Bangalore/Bengaluru +9 more,Bangalore/Bengaluru +9 more,1k-5k Employees
1589,Galax E Solutions,3.4,182,IT Services & Consulting,Somerset +6 more,Somerset +6 more,501-1k Employees
1590,Festo,4.0,182,Industrial Automation,Ludhiana +16 more,Ludhiana +16 more,501-1k Employees
1591,AppInventiv Technologies,3.6,182,IT Services & Consulting,Noida +5 more,Noida +5 more,501-1k Employees
1592,Propertypistol Realty,3.1,182,Real Estate,Mumbai +14 more,Mumbai +14 more,501-1k Employees
1593,Sentiss Pharma,4.0,182,Healthcare,Gurgaon/Gurugram +12 more,Gurgaon/Gurugram +12 more,501-1k Employees
1594,Moon Beverages,3.7,182,Beverage,New Delhi +12 more,36 years old,51-200 Employees
1595,Sterling Talent Solutions,3.8,182,Internet,Bothell +2 more,Bothell +2 more,1k-5k Employees
