,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
106,Embassy Group,3.7,70,Real Estate,Bengaluru +11 more,Bengaluru +11 more,501-1k Employees
107,La opala rg,3.5,70,Retail,Kolkata +6 more,36 years old,201-500 Employees
108,Navigant Technologies,2.4,70,BPO,New Delhi +5 more,New Delhi +5 more,501-1k Employees
109,Bigtree Entertainment,4.2,70,Internet,Mumbai +7 more,Mumbai +7 more,201-500 Employees
110,International SOS,3.3,70,Healthcare,Singapore +9 more,Singapore +9 more,201-500 Employees
111,Net2source,2.9,70,Recruitment,New Jersey +3 more,New Jersey +3 more,1k-5k Employees (Global)
112,Carestream Health,4.0,70,Healthcare,New York +10 more,New York +10 more,201-500 Employees
113,Realistic Realtors,3.8,70,Real Estate,Gurgaon +11 more,Gurgaon +11 more,201-500 Employees
114,Applied Solar Technologies India,4.0,70,Internet,Noida +9 more,Noida +9 more,51-200 Employees
115,Cambridge University Press,3.4,70,Printing & Publishing,Cambridge +12 more,Cambridge +12 more,51-200 Employees
116,Supreme Petrochem,3.9,70,Chemicals,Mumbai +5 more,30 years old,201-500 Employees
117,Bernhard Schulte Shipmanagement,3.9,70,Ports & Shipping,Hamburg +7 more,Hamburg +7 more,51-200 Employees
118,Dexters Logistics,3.4,70,Logistics,Pune +19 more,Pune +19 more,51-200 Employees
119,Spark Engineering,3.6,70,Automobile,Ghaziabad +13 more,Ghaziabad +13 more,51-200 Employees (Global)
120,DesiCrew Solutions,4.0,70,Financial Services,Chennai +8 more,Chennai +8 more,201-500 Employees
121,MResult Services,3.9,70,IT Services & Consulting,Mystic +3 more,Mystic +3 more,501-1k Employees
122,Seshasayee Paper & Boards,4.2,70,Pulp & Paper,Chennai +4 more,Chennai +4 more,1k-5k Employees
123,NetProphets Cyberworks,3.4,70,IT Services & Consulting,Noida +2 more,Noida +2 more,51-200 Employees
124,Zen Technologies,3.4,70,Consumer Electronics & Appliances,Hyderabad +4 more,30 years old,201-500 Employees
125,Experion Developers,4.4,70,Real Estate,Gurgaon +3 more,Gurgaon +3 more,51-200 Employees
126,Mckinsey Knowledge Center,4.1,70,Management Consulting,Chennai +5 more,Chennai +5 more,1k-5k Employees
127,Systematix Infotech,3.8,70,IT Services & Consulting,Indore +2 more,Indore +2 more,201-500 Employees
128,Accord Software & Systems,3.8,70,Software Product,Bangalore/Bengaluru +3 more,Bangalore/Bengaluru +3 more,201-500 Employees
129,Worldwide Oilfield Machine,4.2,70,Oil & Gas,Houston +2 more,Houston +2 more,51-200 Employees
130,Zenith Precision,3.9,70,Aviation,Bengaluru +2 more,Bengaluru +2 more,51-200 Employees
131,Exilant Technologies,4.1,70,IT Services & Consulting,Bangalore/Bengaluru +3 more,Bangalore/Bengaluru +3 more,501-1k Employees
132,ECIL RAPISCAN,4.1,70,Electronics Manufacturing,Hyderabad +14 more,Hyderabad +14 more,201-500 Employees
133,Bernhard Schulte Shipmanagement,3.9,70,Ports & Shipping,Hamburg +7 more,Hamburg +7 more,51-200 Employees
134,Dexters Logistics,3.4,70,Logistics,Pune +19 more,Pune +19 more,51-200 Employees
135,The Flights Guru Infotech,4.6,70,Travel & Tourism,New Delhi +1 more,New Delhi +1 more,51-200 Employees
136,Tata Interactive Systems,2.7,70,IT Services & Consulting,Mumbai +20 more,Mumbai +20 more,501-1k Employees
137,Transworld Group of Companies,3.8,70,Logistics,Dubai +15 more,Dubai +15 more,201-500 Employees
138,Azure Knowledge Corporation,3.8,70,Analytics & KPO,Palo Alto +5 more,Palo Alto +5 more,1k-5k Employees
139,Apeejay Surrendra Group,4.2,70,FMCG,Kolkata +12 more,113 years old,10k-50k Employees
140,Storia Foods,3.2,71,Beverage,Mumbai +20 more,Mumbai +20 more,201-500 Employees
141,ERA's Lucknow Medical College & Hospital,4.0,71,Education & Training,Lucknow +1 more,Lucknow +1 more,201-500 Employees
142,Essel Finance,4.1,71,Financial Services,Mumbai +18 more,Mumbai +18 more,501-1k Employees
143,JK Trust Gram Vikas Yojana,4.3,71,Non-Profit,Thane +28 more,Thane +28 more,51-200 Employees
144,Anvil Cables,4.2,71,Semiconductors,Kolkata +14 more,Kolkata +14 more,201-500 Employees
145,Conceptia Software Technologies,4.2,71,Defence & Aerospace,Bengaluru/Bangalore +7 more,Bengaluru/Bangalore +7 more,501-1k Employees
146,Sankei Giken,4.0,71,Auto Components,Tokyo +1 more,Tokyo +1 more,51-200 Employees
147,Usha Fire Safety Equipments,3.6,71,Industrial Machinery,Chennai +14 more,Chennai +14 more,51-200 Employees
148,Wittur Elevator Components,3.6,71,Industrial Machinery,Sulzemoos - Wiedenzhausen +2 more,55 years old,51-200 Employees
149,School of Scholars,4.0,71,Education & Training,Nagpur +21 more,Nagpur +21 more,1-10 Employees
150,Madhavbaug,4.0,71,Healthcare,Thane +20 more,Thane +20 more,201-500 Employees
151,Wyzmindz Solutions,3.1,71,IT Services & Consulting,Bengaluru +3 more,Bengaluru +3 more,51-200 Employees (Global)
